stime,ctime,mac,ssid,bssid,rssi
1691365324.6534228,1609459210,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-42
1691365324.6534228,1609459210,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-44
1691365324.6534228,1609459210,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-61
1691365336.614197,1609459223,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-42
1691365336.614197,1609459223,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-44
1691365336.614197,1609459223,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-53
1691365348.7113645,1609459235,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-40
1691365348.7113645,1609459235,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-54
1691365360.6425354,1609459247,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-57
1691365638.6667197,1691344038,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-33
1691365649.7702937,1609459535,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-43
1691365651.6005268,1691344050,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-40
1691365675.6633816,1609459210,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-50
1691365683.8789804,1609459571,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-43
1691365687.7006943,1609459223,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-43
1691365695.6579125,1609459582,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-42
1691365699.548632,1609459235,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-44
1691365707.31151,1609459594,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-46
1691365710.917227,1609459247,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-43
1691365721.64843,1609459607,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-37
1691365721.64843,1609459607,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-44
1691365722.6777856,1609459258,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-35
1691365722.6777856,1609459258,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-43
1691365735.6560102,1609459270,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-42
1691365736.6623876,1609459620,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-43
1691365742.5305402,1609459209,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-40
1691365742.5305402,1609459209,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-40
1691365747.4470115,1609459283,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-41
1691365747.4470115,1609459283,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-49
1691365748.2721355,1609459635,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-39
1691365748.2721355,1609459635,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-48
1691365753.8381553,1609459222,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-37
1691365753.8381553,1609459222,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-37
1691365760.5577168,1609459295,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-37
1691365760.5577168,1609459295,28:cd:c1:02:6b:aa,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-44
1691365762.6007192,1609459648,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a0,28cdc1026ba0,-38
1691365762.6007192,1609459648,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:a8,28cdc1026ba8,-40
1691365762.6007192,1609459648,28:cd:c1:02:6b:a6,beacon-28:cd:c1:02:6b:aa,28cdc1026baa,-42
1691365766.6507154,1609459233,28:cd:c1:02:6b:a8,beacon-28:cd:c1:02:6b:a6,28cdc1026ba6,-36
