stime,ctime,uid,name,device,rssi,services
1699837390.0800698,1609459215,e6:61:41:03:e7:72:a1:38,None,4e:11:38:9a:30:b6,-69,[]
1699837390.0800698,1609459215,e6:61:41:03:e7:72:a1:38,HTC BS 676184,40:4e:36:ee:fc:67,-47,['UUID(0xcb00)']
1699837390.0800698,1609459215,e6:61:41:03:e7:72:a1:38,HTC BS D4A8BC,40:4e:36:ee:fa:d4,-68,['UUID(0xcb00)']
1699837390.0800698,1609459215,e6:61:41:03:e7:72:a1:38,New Hatch Rest,cb:27:2c:57:c0:88,-101,['UUID(0x180a)']
1699837390.0800698,1609459215,e6:61:41:03:e7:72:a1:38,NALWQ,6d:eb:03:75:80:b0,-85,['UUID(0xfeaf)']
1699837390.0800698,1609459215,e6:61:41:03:e7:72:a1:38,N010R,fd:69:36:a3:87:89,-98,['UUID(0xfeaf)']
1699837390.0800698,1609459215,e6:61:41:03:e7:72:a1:38,Battery Monitor,b0:b1:13:29:68:6a,-95,[]
1699837405.549765,1609459231,e6:61:41:03:e7:72:a1:38,HTC BS 676184,40:4e:36:ee:fc:67,-41,['UUID(0xcb00)']
1699837405.549765,1609459231,e6:61:41:03:e7:72:a1:38,HTC BS 676184,40:4e:36:ee:fc:67,-41,['UUID(0xcb00)']
1699837405.549765,1609459231,e6:61:41:03:e7:72:a1:38,HTC BS D4A8BC,40:4e:36:ee:fa:d4,-62,['UUID(0xcb00)']
1699837405.549765,1609459231,e6:61:41:03:e7:72:a1:38,NALWQ,6d:eb:03:75:80:b0,-91,['UUID(0xfeaf)']
1699837405.549765,1609459231,e6:61:41:03:e7:72:a1:38,New Hatch Rest,cb:27:2c:57:c0:88,-99,['UUID(0x180a)']
1699837405.549765,1609459231,e6:61:41:03:e7:72:a1:38,Avi-on,28:fd:80:82:14:c4,-99,['UUID(0xfef1)']
1699837421.1200378,1609459246,e6:61:41:03:e7:72:a1:38,None,5a:4e:14:bd:d3:d4,-98,[]
1699837421.1200378,1609459246,e6:61:41:03:e7:72:a1:38,HTC BS D4A8BC,40:4e:36:ee:fa:d4,-61,['UUID(0xcb00)']
1699837421.1200378,1609459246,e6:61:41:03:e7:72:a1:38,HTC BS 676184,40:4e:36:ee:fc:67,-45,['UUID(0xcb00)']
1699837421.1200378,1609459246,e6:61:41:03:e7:72:a1:38,New Hatch Rest,cb:27:2c:57:c0:88,-98,['UUID(0x180a)']
1699837421.1200378,1609459246,e6:61:41:03:e7:72:a1:38,NALWQ,6d:eb:03:75:80:b0,-95,['UUID(0xfeaf)']
1699837421.1200378,1609459246,e6:61:41:03:e7:72:a1:38,Avi-on,28:fd:80:82:14:c4,-98,['UUID(0xfef1)']
1699837421.1200378,1609459246,e6:61:41:03:e7:72:a1:38,N7VHS,57:81:a0:37:0b:b8,-97,['UUID(0xfeaf)']
1699837436.8838844,1609459262,e6:61:41:03:e7:72:a1:38,HTC BS 676184,40:4e:36:ee:fc:67,-41,['UUID(0xcb00)']
1699837436.8838844,1609459262,e6:61:41:03:e7:72:a1:38,HTC BS 676184,40:4e:36:ee:fc:67,-41,['UUID(0xcb00)']
1699837436.8838844,1609459262,e6:61:41:03:e7:72:a1:38,HTC BS D4A8BC,40:4e:36:ee:fa:d4,-61,['UUID(0xcb00)']
1699837436.8838844,1609459262,e6:61:41:03:e7:72:a1:38,New Hatch Rest,cb:27:2c:57:c0:88,-102,['UUID(0x180a)']
1699837436.8838844,1609459262,e6:61:41:03:e7:72:a1:38,NALWQ,6d:eb:03:75:80:b0,-85,['UUID(0xfeaf)']
1699837436.8838844,1609459262,e6:61:41:03:e7:72:a1:38,Avi-on,28:fd:80:82:14:c4,-100,['UUID(0xfef1)']
1699837436.8838844,1609459262,e6:61:41:03:e7:72:a1:38,N7VHS,57:81:a0:37:0b:b8,-96,['UUID(0xfeaf)']
1699837452.4497674,1609459277,e6:61:41:03:e7:72:a1:38,None,09:7e:43:c8:bd:ef,-54,[]
1699837452.4497674,1609459277,e6:61:41:03:e7:72:a1:38,HTC BS 676184,40:4e:36:ee:fc:67,-44,['UUID(0xcb00)']
1699837452.4497674,1609459277,e6:61:41:03:e7:72:a1:38,HTC BS D4A8BC,40:4e:36:ee:fa:d4,-74,['UUID(0xcb00)']
1699837452.4497674,1609459277,e6:61:41:03:e7:72:a1:38,New Hatch Rest,cb:27:2c:57:c0:88,-100,['UUID(0x180a)']
1699837452.4497674,1609459277,e6:61:41:03:e7:72:a1:38,NALWQ,6d:eb:03:75:80:b0,-93,['UUID(0xfeaf)']
1699837468.013478,1609459293,e6:61:41:03:e7:72:a1:38,New Hatch Rest,cb:27:2c:57:c0:88,-101,['UUID(0x180a)']
1699837468.013478,1609459293,e6:61:41:03:e7:72:a1:38,None,4e:11:38:9a:30:b6,-73,[]
1699837468.013478,1609459293,e6:61:41:03:e7:72:a1:38,HTC BS 676184,40:4e:36:ee:fc:67,-44,['UUID(0xcb00)']
1699837468.013478,1609459293,e6:61:41:03:e7:72:a1:38,HTC BS D4A8BC,40:4e:36:ee:fa:d4,-60,['UUID(0xcb00)']
1699837468.013478,1609459293,e6:61:41:03:e7:72:a1:38,N7VHS,57:81:a0:37:0b:b8,-98,['UUID(0xfeaf)']
1699837468.013478,1609459293,e6:61:41:03:e7:72:a1:38,NALWQ,6d:eb:03:75:80:b0,-94,['UUID(0xfeaf)']
1699837468.013478,1609459293,e6:61:41:03:e7:72:a1:38,Avi-on,28:fd:80:82:14:c4,-102,['UUID(0xfef1)']
1699837483.578971,1609459309,e6:61:41:03:e7:72:a1:38,None,4e:11:38:9a:30:b6,-79,[]
1699837483.578971,1609459309,e6:61:41:03:e7:72:a1:38,NALWQ,6d:eb:03:75:80:b0,-79,['UUID(0xfeaf)']
1699837483.578971,1609459309,e6:61:41:03:e7:72:a1:38,New Hatch Rest,cb:27:2c:57:c0:88,-96,['UUID(0x180a)']
1699837483.578971,1609459309,e6:61:41:03:e7:72:a1:38,HTC BS 676184,40:4e:36:ee:fc:67,-45,['UUID(0xcb00)']
1699837483.578971,1609459309,e6:61:41:03:e7:72:a1:38,N010R,fd:69:36:a3:87:89,-100,['UUID(0xfeaf)']
1699837483.578971,1609459309,e6:61:41:03:e7:72:a1:38,e6:61:41:03:e7:46:30:37,28:cd:c1:02:6b:ab,-59,['UUID(0x1821)']
1699837487.4710968,1609459211,e6:61:41:03:e7:46:30:37,None,4e:11:38:9a:30:b6,-72,[]
1699837487.4710968,1609459211,e6:61:41:03:e7:46:30:37,New Hatch Rest,cb:27:2c:57:c0:88,-91,['UUID(0x180a)']
1699837487.4710968,1609459211,e6:61:41:03:e7:46:30:37,HTC BS 676184,40:4e:36:ee:fc:67,-68,['UUID(0xcb00)']
1699837487.4710968,1609459211,e6:61:41:03:e7:46:30:37,e6:61:41:03:e7:72:a1:38,28:cd:c1:0d:b4:01,-61,['UUID(0x1821)']
1699837487.4710968,1609459211,e6:61:41:03:e7:46:30:37,Battery Monitor,b0:b1:13:29:68:6a,-101,[]
1699837487.4710968,1609459211,e6:61:41:03:e7:46:30:37,N010R,fd:69:36:a3:87:89,-92,['UUID(0xfeaf)']
1699837487.4710968,1609459211,e6:61:41:03:e7:46:30:37,NALWQ,6d:eb:03:75:80:b0,-79,['UUID(0xfeaf)']
1699837499.1454184,1609459324,e6:61:41:03:e7:72:a1:38,None,5a:4e:14:bd:d3:d4,-99,[]
1699837499.1454184,1609459324,e6:61:41:03:e7:72:a1:38,HTC BS 676184,40:4e:36:ee:fc:67,-41,['UUID(0xcb00)']
1699837499.1454184,1609459324,e6:61:41:03:e7:72:a1:38,e6:61:41:03:e7:46:30:37,28:cd:c1:02:6b:ab,-55,['UUID(0x1821)']
1699837499.1454184,1609459324,e6:61:41:03:e7:72:a1:38,New Hatch Rest,cb:27:2c:57:c0:88,-94,['UUID(0x180a)']
1699837499.1454184,1609459324,e6:61:41:03:e7:72:a1:38,NALWQ,6d:eb:03:75:80:b0,-90,['UUID(0xfeaf)']
1699837499.1454184,1609459324,e6:61:41:03:e7:72:a1:38,N7VHS,57:81:a0:37:0b:b8,-96,['UUID(0xfeaf)']
1699837503.037733,1609459227,e6:61:41:03:e7:46:30:37,None,4e:11:38:9a:30:b6,-71,[]
1699837503.037733,1609459227,e6:61:41:03:e7:46:30:37,HTC BS 676184,40:4e:36:ee:fc:67,-67,['UUID(0xcb00)']
1699837503.037733,1609459227,e6:61:41:03:e7:46:30:37,New Hatch Rest,cb:27:2c:57:c0:88,-83,['UUID(0x180a)']
1699837503.037733,1609459227,e6:61:41:03:e7:46:30:37,e6:61:41:03:e7:72:a1:38,28:cd:c1:0d:b4:01,-55,['UUID(0x1821)']
1699837503.037733,1609459227,e6:61:41:03:e7:46:30:37,NALWQ,6d:eb:03:75:80:b0,-68,['UUID(0xfeaf)']
1699837514.9125638,1609459340,e6:61:41:03:e7:72:a1:38,None,4e:11:38:9a:30:b6,-71,[]
