stime,ctime,uid,mac,ssid,bssid,rssi,channel,authmode,hidden
1746593646.483978,1609459282,e6:61:38:52:83:44:23:2c,d8:3a:dd:3b:89:32,Fireling,3c3174a7a91e,-32,6,5,5
1746593646.483978,1609459282,e6:61:38:52:83:44:23:2c,d8:3a:dd:3b:89:32,Fireling,3c3174a7a135,-58,11,5,2
1746593646.483978,1609459282,e6:61:38:52:83:44:23:2c,d8:3a:dd:3b:89:32,HairitageHouse,5c35fc0ecbe9,-81,11,5,2
1746593646.483978,1609459282,e6:61:38:52:83:44:23:2c,d8:3a:dd:3b:89:32,,50ba7d3dbab7,-86,6,5,hidden
1746593646.483978,1609459282,e6:61:38:52:83:44:23:2c,d8:3a:dd:3b:89:32,,50ba7d3dbab9,-86,6,5,hidden
1746593646.483978,1609459282,e6:61:38:52:83:44:23:2c,d8:3a:dd:3b:89:32,harold’s home,50ba7d3dbab8,-86,6,5,2
1746593646.483978,1609459282,e6:61:38:52:83:44:23:2c,d8:3a:dd:3b:89:32,Kanchi22,3c3174a7a3e7,-88,6,5,hidden
1746593646.483978,1609459282,e6:61:38:52:83:44:23:2c,d8:3a:dd:3b:89:32,Factor,441c12308da9,-90,6,5,hidden
1746593646.483978,1609459282,e6:61:38:52:83:44:23:2c,d8:3a:dd:3b:89:32,[range]_E30AJT7113732F,1ce89e69baae,-91,3,5,hidden
1746593646.483978,1609459282,e6:61:38:52:83:44:23:2c,d8:3a:dd:3b:89:32,,a60f6fd807d8,-92,6,open,hidden
1746593646.483978,1609459282,e6:61:38:52:83:44:23:2c,d8:3a:dd:3b:89:32,1b6dcebe770bbeb1794312a647d37741,b4a5efe5f7dd,-92,9,5,hidden
1746593657.2003355,1609459295,e6:61:38:52:83:44:23:2c,d8:3a:dd:3b:89:32,Fireling,3c3174a7a91e,-33,6,5,4
1746593657.2003355,1609459295,e6:61:38:52:83:44:23:2c,d8:3a:dd:3b:89:32,Fireling,3c3174a7a135,-55,11,5,3
1746593657.2003355,1609459295,e6:61:38:52:83:44:23:2c,d8:3a:dd:3b:89:32,A Series Of Tubes,7058a4e83ff9,-71,1,5,2
1746593657.2003355,1609459295,e6:61:38:52:83:44:23:2c,d8:3a:dd:3b:89:32,HairitageHouse,5c35fc0ecbe9,-79,11,5,hidden
1746593657.2003355,1609459295,e6:61:38:52:83:44:23:2c,d8:3a:dd:3b:89:32,YUKONCORNELIUS,f0a7317742a6,-83,6,5,hidden
1746593657.2003355,1609459295,e6:61:38:52:83:44:23:2c,d8:3a:dd:3b:89:32,,7213016aba4a,-84,6,5,hidden
1746593657.2003355,1609459295,e6:61:38:52:83:44:23:2c,d8:3a:dd:3b:89:32,,50ba7d3dbab7,-86,6,5,hidden
